Feature,Importance
POPProduct,0.11888449840970569
Distance,0.10846198247031086
OGDP,0.10759825534770805
CentralityProduct,0.1009252828245351
DCountry_Identity,0.06627973136237245
POPRatio,0.06269161189093646
DGDP,0.06218884369755739
OCountry_Identity,0.056536043550675194
DGDPPerCapita,0.0521363792207067
contig,0.05020409100411288
GDPProduct,0.042469521314919524
CentralityDiff,0.03628545216525307
fta_wto,0.030729053897423725
OCentrality,0.02726179719191032
OPOP,0.016516531314547243
DPOP,0.012374539542520456
comcol,0.010077812589090322
GDPRatio,0.008761108719371084
OGDPPerCapita,0.008604273972227024
comlang_off,0.008055025353467471
col45,0.007275999775828448
DCentrality,0.00568216438482059
