Feature,Importance
POPProduct,0.11888690346477189
Distance,0.11237673041063762
OGDP,0.10657094375455316
CentralityProduct,0.09592044229906838
POPRatio,0.06250526141354301
DGDP,0.06163014898334445
OCountry_Identity,0.06140788745652381
DCountry_Identity,0.06140788745652381
DGDPPerCapita,0.052316479555079676
contig,0.050860299726997
GDPProduct,0.04165841171519505
CentralityDiff,0.03662961071051949
fta_wto,0.030502873882565975
OCentrality,0.026996948086448914
OPOP,0.01714887588918825
DPOP,0.012412336713144744
comcol,0.01088768813843933
comlang_off,0.009162636249237683
GDPRatio,0.008624558868937076
OGDPPerCapita,0.008577545975243843
col45,0.007803023742989331
DCentrality,0.005712503066917323
