Feature,Importance
GDPProduct,0.10665183633132327
Distance,0.0995578085594378
comlang_off,0.0963656024440335
DGDPPerCapita,0.09547201591930993
OGDPPerCapita,0.09385868894738165
DGDP,0.08693418773945996
OCountry_Identity,0.07549377577438945
DCountry_Identity,0.07549377577438945
CentralityProduct,0.05034744386106904
col45,0.0350249372621074
OCentrality,0.03072243301078157
DPOP,0.02278332832624249
POPProduct,0.021515923479231005
GDPRatio,0.018288605348730936
fta_wto,0.017550861874487234
contig,0.016809753308003834
comcol,0.012490127290095025
DCentrality,0.00998341380030157
CentralityDiff,0.009948392534738794
POPRatio,0.009311548876049708
OGDP,0.007899432841957437
OPOP,0.007496101446736018
