Feature,Importance
DCountry_Identity,0.188506344611462
OCountry_Identity,0.188506344611462
DPOP,0.07688207171139298
POPRatio,0.07365652281564991
col45,0.06621226997189199
Distance,0.05738933752294253
fta_wto,0.04284391142081153
OGDP,0.03790676395211419
GDPRatio,0.03486323105683639
comlang_off,0.025857080686062427
DGDP,0.02584084948913882
comcol,0.020820996057315588
CentralityProduct,0.02027445353008532
DCentrality,0.019348973713827447
OGDPPerCapita,0.019348868841500538
DGDPPerCapita,0.018199197571895337
contig,0.017898065654142037
CentralityDiff,0.014611074098247837
GDPProduct,0.0145601987215155
OPOP,0.012803608553924537
OCentrality,0.012196539410404312
POPProduct,0.011473288506807632
