Feature,Importance
nn_learned_feature_4,0.11378366227465561
nn_learned_feature_3,0.10688424462888114
nn_learned_feature_5,0.09262348498021912
nn_learned_feature_0,0.07996632648622619
nn_learned_feature_2,0.07239320830547617
POPRatio,0.06664688473191475
DPOP,0.06591463318480342
col45,0.057468199967236885
nn_learned_feature_10,0.04807886890869559
nn_learned_feature_7,0.04004944865613088
fta_wto,0.031265033652866266
GDPRatio,0.029064074095727074
OGDP,0.02554636982522805
nn_learned_feature_6,0.019583996459061392
DGDP,0.01426133876810131
comlang_off,0.013762223489868643
Distance,0.01346704830992805
DCentrality,0.009937305798339399
comcol,0.007743452032099846
nn_learned_feature_1,0.007538367855818091
nn_learned_feature_18,0.007099199286516536
OGDPPerCapita,0.005608722178746406
GDPProduct,0.004754410765495325
contig,0.004582356174188922
POPProduct,0.004227594968029442
CentralityProduct,0.003956065141868307
CentralityDiff,0.0038900340982005364
nn_learned_feature_8,0.003848933108830934
DGDPPerCapita,0.0037281136819901704
nn_learned_feature_31,0.003611920731390968
nn_learned_feature_28,0.0031628517743309166
OCentrality,0.003130036920840573
nn_learned_feature_11,0.0030872513088772004
nn_learned_feature_29,0.0029592691553245983
OPOP,0.002691620176319898
nn_learned_feature_9,0.0024442513181100766
nn_learned_feature_12,0.002420419568612828
nn_learned_feature_15,0.001951327556007112
nn_learned_feature_13,0.0018940846116220506
nn_learned_feature_26,0.0018491486371906107
nn_learned_feature_14,0.0017491982398235206
nn_learned_feature_16,0.0017301976855795787
nn_learned_feature_25,0.0016105181064794672
nn_learned_feature_27,0.0016019544048026593
nn_learned_feature_24,0.0015582009246180317
nn_learned_feature_17,0.0015201865913437793
nn_learned_feature_30,0.0010580877098591054
nn_learned_feature_19,0.0008412017785757268
nn_learned_feature_22,0.0006689035610522195
nn_learned_feature_23,0.0004987967810376635
nn_learned_feature_20,0.00023762262671451662
nn_learned_feature_21,4.934801634250449e-05
