Feature,Importance
OCountry_Identity,0.1516816127281259
DCountry_Identity,0.1500480849006686
col45,0.08519570954242803
POPRatio,0.0850575658121425
CentralityDiff,0.0802971770868171
contig,0.058120883690168615
Distance,0.05681121629571685
comlang_off,0.04974855734411486
CentralityProduct,0.038751805646770464
OGDPPerCapita,0.03795292980058333
DPOP,0.03709090554306491
OGDP,0.02665996412243021
comcol,0.02100533159265073
DGDPPerCapita,0.018917431863568236
OPOP,0.01746926289184956
DGDP,0.016823494487521285
GDPProduct,0.01381973280433096
fta_wto,0.011945308495882408
POPProduct,0.011892684503776462
OCentrality,0.011407636284031852
DCentrality,0.009976078951014562
GDPRatio,0.009326625612342489
